id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;85378;39185;24197;Research orchid;Cambridgeshire repurpose Metrics;Hawaii high-level;Investor Car;Checking Account;Electronics synthesizing circuit;Quality Markets;Metrics Producer;Pizza Springs;customer loyalty Profit-focused Prairie;Chips Rhode Island program;Checking Account backing up;dynamic Infrastructure Self-enabling;Intelligent Soft Gloves Pizza;transmitter Gorgeous;Ameliorated grow;deposit Fresh bottom-line;Agent Metrics
2;49467;4491;51272;Berkshire withdrawal Handmade;Senior;interfaces executive Auto Loan Account;Innovative New Hampshire killer;overriding Dynamic;Principal Small Cambridgeshire;back up;Industrial;Pizza;context-sensitive Group Oklahoma;New Jersey convergence;program;Plastic;Human Configuration;strategize transmit indexing;Borders teal Illinois;empowering;TCP orchid
3;7115;36435;6900;Accountability;Lake Licensed;backing up parallelism Baht;world-class hacking Cambridgeshire;Aruba discrete;Program embrace;generate Toys;Sleek Plastic Car matrix;Diverse;Home;Team-oriented Movies;lavender contingency alarm;index synthesizing;Money Market Account National;port compressing Keyboard;customized Assistant;Manager input;Montenegro Tuna
4;38068;7845;41446;synthesize Games;haptic;web-enabled Checking Account;executive Personal Loan Account;payment;quantify;haptic;Bedfordshire holistic Division;Chicken Fish Practical;Direct Pula bus;global Jewelery Intelligent Wooden Pants;open-source;Pizza Metal input;Michigan Infrastructure Bedfordshire;Avon Buckinghamshire;circuit implement;optical;Jewelery
5;70369;61591;97025;partnerships Optional firewall;hard drive Venezuela Australia;Bedfordshire sensor;Wooden Data hard drive;architect Fresh SAS;Guyana Dollar;dynamic SAS;Buckinghamshire Gorgeous Plastic Soap Intranet;parsing Investor Computers;Car salmon Home;collaboration best-of-breed;Tactics mindshare;maximize Gorgeous Soft Pants asymmetric;cross-platform Gourde US Dollar;Intelligent Cotton Shirt;Technician wireless alarm;indigo;1080p Checking Account
6;99036;27785;32525;Group;Supervisor Practical Granite Chips Computer;Botswana Administrator Rwanda;hard drive;pink Iceland;mission-critical;Berkshire;modular intermediate payment;Rubber Checking Account Car;Brand hardware Handcrafted;Plaza Handcrafted;motivating Clothing;incentivize North Dakota River;Home Loan Account interface dedicated;Outdoors Sausages;Practical;Personal Loan Account;capacitor
7;88299;668;20263;New York Iranian Rial Aruban Guilder;Checking Account incubate;Optimized Views Integration;bus Savings Account;Dominican Peso Technician Sleek;index;Unbranded;Unbranded redundant AGP;convergence system Industrial;Polarised New Zealand;Reactive microchip Handcrafted;programming;circuit;Computers;red analyzing;Senior;Landing program;Credit Card Account Checking Account
8;37220;95149;33303;SAS revolutionize Cambridgeshire;Saudi Arabia;benchmark;compress matrix;actuating navigate;Dynamic South Carolina;global PCI;Internal deposit neural;e-commerce AGP;bus supply-chains;Nigeria Frozen;Practical Fresh Hat regional e-markets;orange;Berkshire Practical Granite Chair;yellow real-time interface;withdrawal;Corporate;Hat
9;7049;78652;18564;payment SMS neural;Court virtual Home;Monitored Borders El Salvador;navigate Refined;neural conglomeration Forward;virtual withdrawal syndicate;Integration;artificial intelligence Regional Awesome;Berkshire sky blue SAS;IB cutting-edge Shoals;synergies Money Market Account;Ramp;Fish Jamaican Dollar;Avon;Fish Sports;Romania haptic capacity;Incredible Grocery;circuit
10;88166;24153;12149;deposit Idaho;Cote d'Ivoire;customer loyalty Car;morph;one-to-one;Intranet Personal Loan Account Massachusetts;index EXE;Som El Salvador Colon US Dollar Mouse;groupware Taiwan;deposit United States of America;New Zealand Dollar;Frozen magnetic;Developer;yellow unleash;Djibouti Franc generate Group;Kids optical Handcrafted Granite Shirt;THX magenta;Team-oriented Shoes feed
