id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;29653;99158;34970;reboot invoice grey;partnerships;invoice bypass;synergies;Sleek;Product 1080p Pre-emptive;whiteboard red Concrete;reciprocal Generic Frozen Hat;Unbranded Frozen Gloves back-end;Wall;Investment Account;Legacy Slovenia;deposit Steel;Unbranded Savings Account;seize;Japan maximize;Response;Research
2;67598;19747;49604;Baby Specialist New Taiwan Dollar;SCSI;Universal Egypt invoice;Wall;input Rhode Island Tuna;Gloves;parse user-facing;Handmade Wooden Computer Metal;Licensed Manager Borders;copying;relationships quantify generate;array Delaware;Refined New York PNG;Keyboard Overpass;open-source;circuit Engineer Intelligent;SAS deposit;Saint Barthelemy
3;73307;81511;61598;magenta dynamic;Martinique Albania synthesizing;Sports back up ivory;navigate Croatian Kuna hack;implementation XML Liaison;deploy payment;SSL Savings Account reintermediate;Clothing Chair;Savings Account;Bacon evolve;Utah Mission;protocol Awesome;Oklahoma;Generic Granite Chicken Auto Loan Account;3rd generation copying;deposit Car;out-of-the-box mobile program;connecting Japan enable
4;12237;32819;73550;Cloned architect;Auto Loan Account;parse capacitor model;systems;Buckinghamshire Computer;methodologies calculating scale;Intranet mint green;holistic strategic;Netherlands Antillian Guilder;generating neutral;Paradigm solid state;systematic;Synergized generate;turquoise redundant;Applications panel;Small circuit;District 1080p;bypass
5;15890;22522;61022;Cotton;Dynamic Ville Movies;Small Plastic Chair;content-based;Forward;Engineer;index Summit;actuating Shoes TCP;Generic Fresh Towels;back-end;deliverables;Unbranded Ameliorated;payment Liaison Vermont;streamline navigating open-source;sensor Strategist;Metal;mint green Kentucky Groves;Communications Director Computer
6;2203;15124;72000;ROI;quantifying;Macedonia Executive;AI;Bahrain wireless Mali;Intelligent Summit;initiatives Frozen;overriding Bermudian Dollar (customarily known as Bermuda Dollar);AI Ports;Finland Licensed Granite Computer cross-platform;Associate neural;pink Synergized;Gibraltar;input Andorra yellow;invoice Pizza Enterprise-wide;Park Producer quantify;Bahamas;Hollow
7;90922;28243;53870;Buckinghamshire Fantastic;Stravenue seize;index;teal sky blue Gorgeous;1080p Indiana;project withdrawal;Human;Cape Verde Ridge;back-end methodology;customized Product Chips;Rubber green;customized;invoice Gloves schemas;Executive SCSI;1080p;toolset Administrator;Liaison Saint Helena Pound;challenge Agent
8;97978;42748;65613;Steel;California Antarctica (the territory South of 60 deg S) transmitter;blue innovate Officer;SQL programming;Handmade copy;Turnpike quantifying Harbor;Networked transmitting;back-end Bike bandwidth;Ergonomic program platforms;out-of-the-box Extension calculate;e-commerce Louisiana;synthesizing Streets Engineer;Music feed;extranet;Movies Colombian Peso Unidad de Valor Real Pizza;Vision-oriented bypassing;Generic;Vatu Bedfordshire
9;30531;36037;21264;Shoes;systems;Interactions SSL transmit;Handcrafted Fresh Ball invoice SMTP;Florida;deploy;Flats AI;Cotton web services;Sleek synergies Practical Soft Chair;Specialist Fresh card;Internal synthesize optical;Strategist;hard drive migration;Falkland Islands (Malvinas) invoice Courts;Bahamian Dollar;Ergonomic Concrete Bike Small Rubber Shoes;secured line;Incredible Focused
10;73024;74319;59880;Unbranded Fresh Pizza;Croatian Kuna Money Market Account Principal;Checking Account;Streamlined virtual;interfaces;Consultant;Nebraska deposit Streamlined;Investment Account;bandwidth;Lead Vatu;Refined Frozen Towels Beauty North Korean Won;support;Springs Rubber;Corporate initiatives;Web Pike;Pakistan Rupee Progressive Avon;Innovative;Cambridgeshire withdrawal Response
