id;puttin_analysis_id;longest;total;less_three;less_ten;three_to_five;five_to_seven;seven_to_ten;four_to_eight;ten_to_fifteen;fifteen_to_twenty;twenty_to_twenty_five;less_twenty_five
1;35091;Frozen Metal program;SDD bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Cotton;Advanced grow;Handmade Wooden Cheese Fresh;input Naira
2;23750;seize Glen Refined;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy;Product;Brand Regional Court;B2B Mouse;Junctions one-to-one
3;58365;Fantastic;zero defect Ridges Beauty;groupware;Credit Card Account clear-thinking Frozen;parsing;models New Mexico District;Accountability;Aruba Chair portals;online Strategist Shirt;navigate redefine;generating bypassing Bypass;Plastic Movies
4;7535;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;enhance Multi-channelled purple;Response;white SMTP;Checking Account global Steel;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless
5;58991;mesh partnerships;array Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;Business-focused Canyon Orchestrator;frictionless orchid;Future-proofed Awesome;Creek;Shirt Metal;Mouse Rupiah;Human Mission;Officer Savings Account Automated
6;82179;B2B;Chair Awesome;Kiribati;cyan innovative;open architecture alliance;online;Bulgarian Lev Cambridgeshire;Regional;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end
7;46253;bypass Games Customer-focused;Bond Markets Units European Composite Unit (EURCO) connecting generate;Refined;back-end enhance;optimal;Chair Kentucky;blue internet solution Concrete;distributed Ranch impactful;Berkshire Awesome;pixel Pennsylvania;architectures Cotton;viral
8;89964;Home Loan Account Grass-roots;Director Personal Loan Account;Music;Pants;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver
9;32367;channels Buckinghamshire Open-source;pixel;asymmetric Montana Sausages;internet solution Checking Account;bleeding-edge Rubber;Yemen;open architecture;Gorgeous Metal Shoes;Investment Account;Investment Account cross-platform;Configuration;parse infrastructures Mobility
10;99092;mint green streamline Mobility;Arizona synthesizing Fresh;override back-end hacking;open-source;payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account
